title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
Blinding Lights,The Weeknd,pop,happy,0.8,171,0.75,0.70,0.05
Levitating,Dua Lipa,pop,happy,0.77,103,0.82,0.88,0.01
As It Was,Harry Styles,pop,melancholic,0.60,174,0.55,0.65,0.20
good 4 u,Olivia Rodrigo,pop,angry,0.72,166,0.66,0.77,0.04
Stay With Me,Sam Smith,pop,sad,0.35,106,0.25,0.45,0.40
Bohemian Rhapsody,Queen,rock,epic,0.65,144,0.50,0.40,0.10
Enter Sandman,Metallica,metal,angry,0.90,123,0.30,0.50,0.01
Yellow,Coldplay,rock,happy,0.45,88,0.63,0.50,0.55
Lofi Study Beats,ChilledCow,lofi,calm,0.20,85,0.40,0.55,0.80
Weightless,Marconi Union,ambient,calm,0.10,60,0.35,0.20,0.90
Starboy,The Weeknd,pop,dark,0.75,186,0.48,0.78,0.03
Blacker the Berry,Kendrick Lamar,hiphop,angry,0.82,95,0.28,0.72,0.04
HUMBLE.,Kendrick Lamar,hiphop,confident,0.68,150,0.45,0.80,0.01
Sapphire,Bonobo,jazz,calm,0.30,90,0.55,0.60,0.65
Electric Feel,MGMT,indie,happy,0.65,108,0.80,0.75,0.18
Mr. Brightside,The Killers,indie,melancholic,0.70,148,0.50,0.72,0.12
Numb,Linkin Park,rock,sad,0.65,116,0.20,0.45,0.05
Piano Man,Billy Joel,pop,nostalgic,0.30,88,0.60,0.40,0.75
Lose Yourself,Eminem,hiphop,motivated,0.90,171,0.32,0.78,0.02
Tennessee Whiskey,Chris Stapleton,country,happy,0.40,68,0.70,0.35,0.80
